text,label
"On sinks and reservoirs, Article 4.1(d) calls on Parties to “promote sustainablemanagement, and  promote  and  cooperate  in  the  conservation  andenhancement, as appropriate, of sinks and reservoirs of all greenhouse gasesnot controlled by the Montreal Protocol, including biomass, forests and oceansas well as other terrestrial, coastal and marine ecosystems”.",0
"to  the  extent  feasible,",0
"Article  4.1(f)  requires  Parties  to  “take  climate  change  considerations  intoaccount,in  their  relevant  social, economic  andenvironmental  policies  and  actions”. It  also  calls  on  Parties  to  “employappropriate  methods,formulated  anddetermined nationally”, with a view to minimizing adverse effects that projectsor  measures  undertaken  in  the  context  of mitigation  could  have  “on  theeconomy, on public health or on the quality of the environment”.",0
"for  example  impact  assessments,",0
"Article  4.1(h)  requires  Parties  to  promote  and  cooperate  in  the  full, open  andprompt exchange of relevant scientific, technological, technical, socio-economicand legal information related to the climate system and climate change, and tothe economic and social consequences of various response strategies.",0
Article 4.7 requires that to the extent to which developing country Parties willeffectively implement their commitments under the Convention will depend onthe  effective  implementation  by  developed  country  Parties  oftheircommitments under the Convention related to financial resources and transferoftechnology  and  will  take  fully  into  account  that  economic  and  socialdevelopment and poverty eradication are the first and overriding priorities ofthe developing country Parties.,0
"11.A.2. Scientific, technical and socio-economic aspects of mitigationScientific, technical and socio-economic aspects of mitigating climate changeare  now  discussed  as  a  separate  item  on  the  SBSTA’s  agenda. During  theconsideration of the Third Assessment Report (TAR) of the IPCC by SBSTA 16(June  2002), mitigation  was  one  ofthree  areas  identified  for  regularconsideration. Up to SBSTA 19 (December 2003), it was treated together with",0
75,0
11,0
UNFCCC Handbook,0
technical  and  socio-economic  aspects  of,0
"“Scientific,impacts  of, andvulnerability and adaptation to, climate change” (see chapter 12), as a sub-itemof the  consideration  of the  TAR. At  that  session, the  SBSTA  completed  itsconsideration of the TAR. SBSTA 20 (June 2004) started to consider mitigationand adaptation as two separate new agenda items42. The work on these issueswas also endorsed by COP 9 in 2003, which asked the SBSTA to report on it toCOP 11, and to focus on exchanging information among Parties on practicalways of helping implement the Convention (decision 10/CP.9).",0
"SBSTA 19 noted that relevant themes for consideration under the two newagenda  items  included: sustainable  development, opportunities  andsolutions, and vulnerability and risk, and mandated workshops on each itemduring SBSTA 20. SBSTA 20 identified two topics for further considerationunder mitigation:",0
"technology innovation, deployment and diffusion, including identificationand removal of barriers; andpractical opportunities and solutions that contribute to sustainabledevelopment.",0
"SBSTA 21, SBSTA 22 and SBSTA 23 continued to consider these topics. SBSTA23  asked  the  secretariat  to  organize  workshops  at  its  next  sessions, on  thefollowing themes:",0
"agriculture, forestry and rural development (in-session, SBSTA 24 (May2006));urban planning and development, including transportation (in-session,SBSTA 25 (November 2006));energy efficiency, including industry, and residential and commercial end-use (pre-session, SBSTA 26 (May 2007));power generation, including clean fossil fuels and renewable energy (pre-session, SBSTA 26);non-CO2 emissions, including methane recovery and use (in-session,SBSTA 27 (December 2007)).",0
Aspects to be considered at each workshop include:,0
"currently available and emerging technologies, including small-scale ones,and the associated potential to reduce emissions; opportunities and bestpractices to promote, and to overcome barriers to, innovation,deployment, transfer and diffusion of these technologies, includingthrough innovative financing;",0
42 Views submitted by Parties on these two areas can be found in FCCC/SBSTA/2003/MISC.2,0
"<http://unfccc.int/resource/docs/2003/sbsta/misc02.pdf> (synthesized in FCCC/SBSTA/2003/2<http://unfccc.int/resource/docs/2003/sbsta/misc02.pdf>), FCCC/SBSTA/2003/MISC.2.Add.1<http://unfccc.int/resource/docs/2003/sbsta/misc02a01.pdf>, FCCC/SBSTA/2004/MISC.6<http://unfccc.int/resource/docs/2004/sbsta/misc06.pdf>and FCCC/SBSTA/2004/MISC.6/Add.1<http://unfccc.int/resource/docs/2004/sbsta/misc06a01.pdf>.",0
76,0
Mitigating climate change,0
11,0
"international cooperative efforts to promote innovation, deployment,transfer and diffusion of technology, and opportunities to enhance suchcooperation;socio-economic aspects of mitigation, such as costs and benefits, co-benefits, spillover effects and “win–win” practices that contribute tosustainable development;cross-cutting aspects and methods and tools for assessing mitigationopportunities.",0
"Based on the outcomes of the workshops and views submitted by Parties, theSBSTA will take stock of its work on this issue at its twenty-seventh session andreport  to  COP  13. Presentations  and  other  information  presented  at  theworkshops  organized  until  now  can  be  found  on  the  UNFCCC  web  site<http://unfccc.int/methods_and_science/mitigations/items/2681.php>.",0
Relevant COP decision:Decision 10/CP.9:,0
"Scientific, technical and socio-economic aspects ofimpacts of, and vulnerability and adaptation to, climatechange, and of mitigation",0
"11.B. Measures to mitigate climate change: Annex I Parties11.B.1. Mitigation and related communication commitmentsSpecific commitments by Annex I Parties to mitigate climate change are laid downin Article 4.2. According to Article 4.2(a), each Annex I Party “shall adopt nationalpolicies and take corresponding measures on the mitigation of climate change, bylimiting  its  anthropogenic  emissions  of greenhouse  gases  and  protecting  andenhancing its greenhouse gas sinks and reservoirs”. The article further states that“the return by the end of the present decade [i.e. the 1990s] to earlier levels” ofanthropogenic GHG emissions would contribute to modifying longer-term trendsin these emissions consistent with the objective of the Convention, an undertakingin which Annex I Parties are called upon to take the lead.",0
"In  addition, Article  4.2(b)  stipulates  that  Annex  I  Parties  “shall  communicatedetailed information” on their policies and measures that aim to return their GHGemissions  individually  or  jointly  to  their  1990  levels. Taken  together, theseprovisions  have  been  interpreted  to  add  up  to  the  non-legally  binding  aim  ofreturning GHG emissions of Annex I Parties to their 1990 levels by the year 2000.",0
The information mentioned in Article 4.2(b) is to be communicated by the Party“within six months of the entry into force of the Convention” and “periodicallythereafter” in  the  context  of the  national  communications  further  defined  byArticle 12 (see chapter 18).,0
"Communications have also to provide estimates of the effects which the policiesand  measures  will  have  on  anthropogenic  GHG  emissions  by  sources  andremovals by sinks. These communications are to be submitted “during the periodreferred to in Article 4, paragraph 2(a)” i.e. by the end of the 1990s. Subsequentguidance by the COP has provided for Parties submitting estimates for later yearstoo (see chapter 18). The secretariat, in its last compilation and synthesis report of",0
77,0
11,0
UNFCCC Handbook,0
"Annex I Parties’ third national communications43, noted that Parties had reportedpolicies and measures which covered all the important sources of emissions muchmore  comprehensively  than  previously. There  was  a  clear  indication  of a  shifttowards  implementing  new  climate-specific  policies  and  measures, such  asemissions trading, carbon taxes and green certificate trading. The greatest numberof policies and measures reported were in the energy sector.",0
"As noted in this report, the total aggregated GHG emissions of all reporting AnnexI Parties had “decreased by about 3 per cent from 1990 to 2000”. Thus Annex IParties have jointly attained the aim of Article 4.2 of the Convention – to returntheir 2000 emissions to 1990 levels. Furthermore, in a subsequent publication44,the  sizeable  emission  reduction  of developed  countries, taken  as  a  group, wasconfirmed. Compared to 1990 levels overall GHG emissions of these countrieswere down by 5.9 per cent in 2003. However, the extent to which Annex II Partiessucceeded in reversing an increasing trend in GHG emissions varied widely45.",0
"According to Article 4.2(g), any Party not included in Annex I may at any timenotify the Secretary-General of the United Nations, as the Depositary of theConvention, that  it  intends  to  be  bound  by  Article  4.2(a)  and  4.2(b). Suchnotifications  have  been  made  by  Croatia, the  Czech  Republic, Kazakhstan,Liechtenstein, Monaco, and  Slovakia. With  the  exception  of Kazakhstan,however,the  notifications  have  lost  their  significance  because  the  othercountries have been included in Annex I (see chapter 9).",0
"Article 4.2(d) states that the COP is to review the adequacy of Article 4.2(a) and(b)  at  its  first  session, as  well  as  at  further  sessions. For  more  detail  on  thisprovision and its implementation, see section 11.B.6 below.",0
Figure 11.1: Trends in aggregate greenhouse gas emissions 1990-2002Percentage10,0
Other Annex I Parties,0
0,0
–10,0
–20,0
–30,0
–40,0
19900.0%0.0%0.0%,0
1991–0.2%–4.0%–12.5%,0
19920.2%–5.3%–17.8%,0
19930.5%–7.1%–24.2%,0
19942.2%–7.9%–30.9%,0
All Annex I Parties,0
Annex I Parties – Economies in transition,0
19966.2%–6.5%–35.5%,0
19953.7%–7.7%–33.5%Change relative to 1990 (%),0
19976.5%–6.9%–37.4%,0
19986.8%–7.3%–39.1%,0
19997.0%–7.3%–39.9%,0
20008.8%–6.1%–40.1%,0
20017.8%–6.8%–39.7%,0
20028.4%–6.3%–39.8%,0
"43 FCCC/SBI/2003/7 <http://unfccc.int/resource/docs/2003/sbi/07.pdf>.44 Key GHG data, Greenhouse gas emissions data for 1990-2003 submitted to the United Nations Framework",0
"Convention on Climate Change, November 2005, <http://unfccc.int/resource/docs/publications/key_ghg.pdf>.",0
"45 FCCC/SBI/2003/7/Add.1, paragraph 189 <http://unfccc.int/resource/docs/2003/sbi/07a01.pdf>.",0
78,0
Mitigating climate change,0
11,0
"Article  4.6  calls  on  the  COP  to  allow  the  countries  with  economies  intransition (EITs; see  chapter  3)  “a  certain  degree  offlexibility” inimplementing  their  commitments  under  Article  4.2. This  includes  thehistorical  level  of GHG  emissions  chosen  as  a  reference. The  provision  isintended  to  take  account  ofthe  economic  and  political  upheavalsexperienced by these countries in the late 1980s and early 1990s which led,among other effects, to unusual decreases in GHG emissions. Several EITsmade use of the option for flexibility on the base year. Bulgaria and Hungarymade declarations regarding Article 4.6 when they ratified the Convention,with Bulgaria choosing 1988 as base year and Hungary applying the average",0
Box 11.1: Major objectives of climate change policies of Annex I countries ,0
Though the circumstance of Annex I countries may be different they generally have similar overall objectivesof their policies on climate change.,0
"Energy Economically efficient supply and use of energy Diversification of energy sources leading to enhanced security of supply Protection of the environment, in particular the management of air quality  Energy sector reform to increase economic efficiency by introducing more private sector participation,",0
"more competition in supply and distribution, and increased consumer choice over energy suppliers",0
" Efficient use of resources, including energy resources, through green tax reform Climate change mitigation through emissions trading",0
Transport Sustainable development  Air-quality management Congestion management Energy security,0
Industrial processes Reduction of gases emitted as by-products Improved efficiency  Minimization of the use and emission of fluorinated gases,0
"Agriculture Improved environmental performance such as preventing pollution of underground waters Greater sustainability through, among other things, improved food quality, rural development, organic",0
farming and land-use planning,0
"Land-use change and forestry Protection and sustainable management of forests Conservation of biodiversity, wildlife, soil and water Afforestation and reforestation to increase sink capacity ",0
"Waste Reducing the impact of waste on air, soil and underground waters Recycling and minimizing waste",0
79,0
11,0
UNFCCC Handbook,0
"of the 1985–1987 period. In addition, COP 2 approved modified base yearsfor two other countries, Poland (1988) and Romania (1989)46. In 1998, COP4  approved  1986  as  base  year  for  Slovenia47. In  2005, at  the  request  ofCroatia, COP 11 asked the SBI to consider the level of GHG emissions forthe base year of Croatia and the exact nature of the flexibility allowed to thatParty48. All other Annex I Parties use 1990 as base year.",0
"11.B.2. Activities implemented jointly in the pilot phase (AIJ)Referring to the principle of cost-effectiveness, Article 3.3 of the Conventionstates  that  efforts  to  address  climate  change  may  be  carried  outcooperatively  by  interested  Parties. Article  4.2(a)  explains  that  Annex  IParties may implement mitigation policies and measures “jointly with otherParties  and  may  assist  other  Parties  in  contributing  to  the  achievement  ofthe objective of the Convention” and, in particular, the objective of Article4.2(a)  to  modify  longer-term  emission  trends. Furthermore, Article  4.2(d)provides  that  the  COP, at  its  first  session, shall  “take  decisions  regardingcriteria for joint implementation”.",0
"At its first session in 1995, the COP launched a “pilot phase” of AIJ (decision5/CP.1). In this phase, Parties may, on a voluntary basis, implement projectsthat reduce GHG emissions, or enhance removals of GHGs through sinks, inthe territories of other Parties. The reductions in emissions of these projectsmust  exceed  those  which  would  have  occurred  otherwise. However, nocredits (or emissions reduction units; see Box 11.2) may accrue to any Partyfor such reductions or removals. During the pilot phase AIJ may take place“among Annex I Parties and, on a voluntary basis, with non-Annex I Partiesthat so request it”. The aim is to gain experience through learning by doing,for  example  in  establishing  baselines  and  estimating  the  environmentalbenefits of a project.",0
"Decision 5/CP.1 also makes clear that AIJ between Annex I Parties and non-Annex I Parties will not be considered as fulfilling current commitments ofAnnex  I  Parties  under  Article  4.2(b)  (on  limiting  emissions), but  couldcontribute  to  achieving  the  objective  ofthe  Convention  and  to  fulfillingcommitments of Annex II Parties under Article 4.5 (on technology transfer).Furthermore, AIJ  “are  supplemental, and  should  only  be  treated  as  asubsidiary means of achieving the objective of the Convention”. They do notmodify  the  commitments  of each  Party. The  financing  of AIJ  has  to  beadditional  to  the  financial  obligations  of Annex  II  Parties  under  theConvention (related to the financial mechanism), as well as to current officialdevelopment assistance (ODA) flows.",0
"Parties  are  encouraged  to  report  on  their  AIJ  under  the  pilot  phase  using  aUniform Reporting Format (URF). The latest version of the URF was adopted atCOP  8  in  2002  (decision  20/CP.8), replacing  the  first  URF, adopted  at ",0
46 Decision 9/CP.2.47 Decision 11/CP.4.48 Decision 10/CP.11.,0
80,0
Mitigating climate change,0
11,0
"COP  3  in  1997  (decision  10/CP.3)49. Most  Parties  have  identified  a  designatednational authority to act as a primary national contact on AIJ. The COP regularlyreviews the progress of AIJ under the pilot phase drawing on reports from Parties,and decides whether or not it should be continued. A first “comprehensive review”,based on decision 5/CP.1, was completed at COP 5 in 1999 and led to the decisionto continue the pilot phase beyond 2000 (decision 13/CP.5). Parties agreed that,during the continuation of the pilot phase, the issue of geographical imbalanceshould  be  addressed,in  particular  the  lack  of projects  in  Africa  and  SIDS.Decisions to further continue the pilot phase were adopted by COP 7 (decision8/CP.7), COP 8 (decision 14/CP.8) and COP 10 (decision 10/CP.10).",0
"The  latest  report  on  AIJ  (2002)50 includes  more  than  150  projects, engagingaround one quarter of Parties to the Convention, either as investors or as hosts.Interest  in  AIJ  has  steadily  grown, especially  since  the  adoption  of the  KyotoProtocol. There  has  been  an  almost  50  per  cent  increase  in  the  number  ofprojects  since  1997  –  possibly  with  the  expectation  that  these  projects  mayeventually  operate  under  the  clean  development  mechanism  or  jointimplementation introduced under the Kyoto Protocol (see Box 11.2). Non-AnnexI Parties make up 70 per cent of host Parties and most projects are concentratedin EITs, although the balance is gradually shifting towards developing countries.Most AIJ projects are in renewable energy and energy efficiency, although thelargest  projects  involve  forest  conservation, reforestation  or  restoration. Theseventh synthesis report on AIJ will be issued in 2006.",0
Relevant COP decisions:Activities implemented jointly under the pilot phaseDecision 5/CP.1:Decision 8/CP.2:Activities implemented jointly under the pilot phaseDecision 10/CP.3: Activities implemented jointly under the pilot phaseDecision 6/CP.4:Activities implemented jointly under the pilot phaseDecision 13/CP.5: Activities implemented jointly under the pilot phaseActivities implemented jointly under the pilot phaseDecision 8/CP.7:(decisions 6/CP.4 and 13/CP.5),0
Decision 14/CP.8: Activities implemented jointly under the pilot phaseDecision 20/CP.8: Revised uniform reporting format for activities,0
"implemented jointly under the pilot phase, and Annex:Activities implemented jointly under the pilot phase:revised Uniform Reporting Format (URF 01)",0
Decision 10/CP.10: Continuation of activities implemented jointly under the,0
pilot phase,0
11.B.3. Cooperation and coordination of policies and measuresWhile the Convention requires Annex I Parties to adopt national policies andmeasures to mitigate climate change (Article 4.2(a)) and to report regularly on,0
"49 This former URF is included in the session report of SBSTA 5: FCCC/SBSTA/1997/4, Annexes III (forAIJ) and IV (for national programmes on AIJ) <http://unfccc.int/resource/docs/1997/sbsta/04.pdf>.50 Sixth synthesis report on activities implemented jointly under the pilot phase, FCCC/SBSTA/2002/8",0
"<http://unfccc.int/resource/docs/2002/sbsta/08.pdf>. COP 10 postponed the preparation of the seventhsynthesis report from 2004 until 2006, as Parties had submitted no further information on AIJ.",0
81,0
11,0
UNFCCC Handbook,0
"them (Article 4.2(b)), it does not prescribe particular policies and measuresthat Annex I Parties should apply. This is left to each Party to determine inaccordance with its national circumstances. Article 4.2(e)(i), however, calls onAnnex I Parties to “coordinate as appropriate with other such Parties, relevanteconomic and administrative instruments developed to achieve the objectiveof the Convention”. Furthermore, Article 7.2(c) provides that the COP is to“facilitate, at  the  request  ofthe  coordination  ofmeasures  adopted  by  them  to  address  climate  change  and  its  effects”. Nosuch request has yet been made, and the coordination of measures has notbeen pursued at the COP level.",0
"two  or  more  Parties,",0
"COP  4  initiated  a  process  of considering  “good  practices” in  policies  andmeasures. This was also fostered by the Kyoto Protocol which, in its Article 2.1,enumerates specific policies and measures and calls on Parties to share theirexperience and exchange information on them to increase their effectiveness.As  part  ofthe  Buenos  Aires  Plan  of Action, decision  8/CP.4  asked  thesecretariat to prepare a report on best practices in policies and measures, basedon  Annex  I  Party  national  communications  and  their  reviews  and  additionalinformation submitted by Parties, as well as any other relevant information; andto organize a workshop to assess the best practices in policies and measures onthe basis of the conclusions of SBSTA 11. The issue was subsequently oftenconsidered under the heading of “good practices” rather than “best practices”,as participants in the workshop had found that the concept of “good practice”was more relevant in the international context, while “best practice” could beto a large extent specific to a particular country51.",0
"Within  the  Marrakesh  Accords, decision  13/CP.7  stipulated  that  cooperationamong Annex I Parties to increase the individual and combined effectivenessof policies and measures should come under the guidance of the SBSTA. Thiswork should contribute to the improvement of transparency, effectiveness andcomparability of policies and measures. Transparency in reporting on policiesand  measures  in  the  national  communications  of Annex  I  Parties  should  beenhanced  through  criteria  and  quantitative  parameters, as  appropriate.Furthermore, the work should consider issues of methodology, attribution, andnational circumstances. It should also encompass sharing information on howadverse effects of policies and measures – including on developing countries –could be minimized, taking into account information provided by non-Annex IParties. Decision  13/CP.7  also  asked  the  secretariat  to  make  available  theinformation  on  policies  and  measures  reported  in  the  third  nationalcommunications by Annex I Parties. The SBSTA continued its work on policiesand  measures  based  on  this  information  and  on  submissions  by  Parties52.During SBSTA 22 (May 2005), Parties exchanged information and views on theimplementation  of policies  and  measures  at  a  round-table  discussion.",0
"51 FCCC/SBSTA/2000/2, paragraph 20 <http://unfccc.int/resource/docs/2000/sbsta/02.pdf>. See also",0
FCCC/SBSTA/2001/INF.5 for the report on a further workshop mandated by COP 6 part I<http://unfccc.int/resource/docs/2001/sbsta/inf05.pdf>.,0
52 FCCC/SBSTA/2002/MISC.7 <http://unfccc.int/resource/docs/2002/sbsta/misc07.pdf> and,0
FCCC/SBSTA/2002/MISC.19 <http://unfccc.int/resource/docs/2002/sbsta/misc09.pdf>.,0
82,0
Mitigating climate change,0
11,0
SBSTA 22 also considered options for using web-based approaches to sharingexperience53 and decided to consider next steps at SBSTA 24 (May 2006).,0
Relevant COP decisions:Decision 8/CP.4:,0
"Preparations for the first session of the Conference ofthe Parties serving as the meeting of the Parties to theKyoto Protocol: matters related to decision 1/CP.3,paragraph 6",0
Decision 13/CP.7: Good practices in policies and measures among Parties,0
included in Annex I to the Convention,0
"11.B.4. Review of activities that lead to increased levels of GHGemissionsArticle  4.2  not  only  addresses  policies  and  measures  that  contribute  to  theobjective  ofthe  Convention, but  also  practices  that  may  produce  adverseeffects. Article 4.2(e)(ii) asks each Annex I Party to “identify and periodicallyreview  its  own  policies  and  practices  which  encourage  activities  that  lead  togreater levels of anthropogenic emissions of greenhouse gases not controlledby the Montreal Protocol than would otherwise occur”. This is reflected in theguidelines for national communications of Annex I Parties, which stipulate thatParties should report on action taken to implement commitments under Article4.2(e)(ii) of the Convention, and also provide the rationale for such actions inthe  context  of their  national  communications54. For  example, the  EuropeanUnion, in  its  third  communication, mentions  the  intention  to  phase  out  allsubsidies for fossil fuel production and consumption by 2010, and to undertakean inventory and review of energy subsidies in the Member States, consideringtheir compatibility with climate change objectives.",0
"11.B.5. Enhancement of sinks and reservoirs of GHGs (Land use,land-use change and forestry)In addition to the reduction of GHG emissions at the source, the Conventionrefers  to  the  enhancement  of sinks  and  reservoirs  of GHGs  (e.g. in  Articles4.1(b), (d)  and  4.2(a))  as  an  option  for  mitigating  climate  change. During  theevolution of the Convention process, the term “Land use, land-use change andforestry (LULUCF)” was used to refer to land-use categories that could eitherincrease the removals of GHGs from the atmosphere (e.g. by planting trees ormanaging forests) or reduce emissions (e.g. by curbing deforestation). LULUCFcategories can be a relatively cost-effective way of combating climate change;however, they also have their drawbacks. It may often be difficult to estimateGHG  removals  and  emissions  from  LULUCF. In  addition, GHGs  may  beunintentionally released if a sink is damaged or destroyed, for example througha forest fire or disease.",0
"Annex  I  Parties  reported  in  their  third  national  communications  a  range  ofpolicies  and  measures  in  the  LUCF  sector. These  focused  on  afforestation,",0
"53 As a background document, see FCCC/SBSTA/2004/INF.10",0
<http://unfccc.int/resource/docs/2004/sbsta/inf10.pdf>.,0
"54 FCCC/CP/1997/7, paragraph 16, <http://unfccc.int/resource/docs/cop3/07.pdf>.",0
83,0
11,0
UNFCCC Handbook,0
"reforestation and forest management, and forest programmes with wider policyobjectives than mitigating climate change. There was less emphasis on the roleof other  LUCF  activities  such  as  cropland  and  grazing  management,revegetation and the role of soils in carbon sequestration. Parties reported arange of research-based policies and measures including some that have thepotential to improve understanding of carbon dynamics and others tackling fireand  pest  control. The  policies  and  measures  in  the  LUCF  sector  wereimplemented using a range of instruments, with regulatory, fiscal and economicinstruments being the most common55.",0
"The  emergence  ofissues  related  to  LULUCF  has  stimulated  cooperationamong  many  organizations  and  institutions  with  forest  and  agricultureexperience. As a result, the UNFCCC secretariat has been collaborating withsuch  bodies  as  the  United  Nations  Forum  on  Forests  (UNFF), the  Food  andAgriculture  Organization  of the  United  Nations  (FAO)  and  the  CollaborativePartnership on Forests (CPF).",0
"Relevant COP decision:Decision 14/CP.11: Tables of the common reporting format for land use,",0
land-use change and forestry,0
Box 11.2: LULUCF under the Kyoto Protocol,0
"According to the Kyoto Protocol’s Article 3.3, net changes in GHG emissions and removals from certainland-use change and forestry activities may be used to meet Annex I Parties’ commitments under theProtocol. The eligible activities are afforestation, reforestation and deforestation. If, taken together, theyresult in net removals, the corresponding amount will be added to the amount of GHGs a Party may emit (itsassigned amount). Conversely, if they result in net emissions, the corresponding amount will be subtracted.Removals generate so-called removal units (RMUs) that an Annex I Party can use to help meet itsemissions target; emissions must be offset by greater emission cuts or removals elsewhere. In accordance with Article 3.4 of the Protocol, the Marrakesh Accords (COP 7, 2001) designated a furtherfour eligible activities in the LULUCF sector: forest management, cropland management, grazing landmanagement, and revegetation. Parties may elect which of these additional activities they will use to helpmeet their emissions targets, and the choice is then fixed for the first commitment period.In order to address potential problems associated with LULUCF (such as uncertainties in accounting, or re-release of GHGs) and to ensure credit would not be given for GHG removals that would have occurredanyway, the Marrakesh Accords determined a number of further principles and rules.The principles underscore, for example, the need for sound science and consistent methodologies and theimportance of conserving biodiversity. Naturally occurring removals should be excluded from the system.Any re-release of GHGs from sinks due to land use, land-use change and forestry activities (e.g. forest fires)must be promptly accounted for. Rules for the accounting of emissions and removals in the first commitment period (2008–2012) are set outin decision 13/CMP.1 and in decision 16/CMP.1. They also limit the LULUCF activities eligible under theCDM to afforestation and reforestation. ",0
55 See FCCC/SBI/2007/Add.1 & 2.,0
84,0
Mitigating climate change,0
11,0
"11.B.6. Review of the adequacy of Article 4.2(a) and 4.2(b)The issue of the adequacy of Article 4.2(a) and (b) of the Convention arisesfrom  Article  4.2(d), which  was  included  to  address  the  concerns  of somecountries  that  the  Annex  I  Parties’ commitment  to  return  their  GHGemissions to 1990 levels by 2000 was not sufficient. It provides that the COPshall, at its first session, review the adequacy of Article 4.2(a) and (b), takinginto  account  “the  best  available  scientific  information  and  assessment  onclimate  change  and  its  impacts, as  well  as  relevant  technical, social  andeconomic  information. Based  on  this  review, the  Conference  of the  Partiesshall  take  appropriate  action, which  may  include  the  adoption  ofamendments to the commitments in subparagraphs (a) and (b) … A secondreview  of subparagraphs  (a)  and  (b)  shall  take  place  not  later  than  31December  1998, and  thereafter  at  regular  intervals  determined  by  theConference of the Parties, until the objective of the Convention is met”. Theassessment reports by the IPCC in particular (see Introduction, chapter 1 andchapter 4) have provided information from which Parties have concluded thatcommitments need to be further strengthened.",0
"11.B.6.a. First review of adequacyThe first review was undertaken at COP 1 in 1995 in accordance with Article4.2(d). The COP concluded, in decision 1/CP.1 known as the “Berlin Mandate”,that Article 4.2(a) and (b) were not adequate and launched the negotiations thatled to the adoption of the Kyoto Protocol.",0
including  the  strengthening  of,0
"The Berlin Mandate began a process to enable the COP “to take appropriateaction  for  the  period  beyond  2000,thecommitments  [of Annex  I  Parties], through  the  adoption  of a  protocol  oranother legal instrument”. The decision reaffirmed the principle of commonbut differentiated responsibilities. It recalled that the largest share of historicaland current global GHG emissions had originated in developed countries, andacknowledged  the  needs  of developing  countries  to  achieve  sustainedeconomic  growth  and  to  eradicate  poverty. The  decision  therefore  providedthat the commitments of the developed Parties included in Annex I should bestrengthened, while no new commitments should be introduced for non-AnnexI Parties. It provided, furthermore, that for Annex I Parties, the process shouldinclude drawing up policies and measures and setting quantified objectives forGHG limitation and reduction within specified time frames. The process was tocover  all  GHGs  not  controlled  by  the  Montreal  Protocol, their  emissions  bysources and removals by sinks, and all relevant sectors. For non-Annex I Parties,the mandate was to reaffirm existing commitments in Article 4.1 (valid for allParties), and to continue working on their implementation.",0
